"API","API10","oper_alias","form_avg","Status","PerfLL","FirstProd","Oil_PkNorm_Perk_6mo"
"42461392420000","4246139242","XTO","WFMP_A","PRODUCING",4406,12/1/2014,11418
"42461392430000","4246139243","COG","WFMP_B_LOWER","PRODUCING",7000,8/1/2014,11759
"42461392590000","4246139259","SUMMIT","WFMP_A","PRODUCING",5075,11/1/2014,13541
"42461392600000","4246139260","COG","WFMP_A","PRODUCING",5052,9/1/2014,15827
"42461392610000","4246139261","COG","WFMP_B","PRODUCING",5070,8/1/2014,10487
"42461392680000","4246139268","PIONEER","WFMP_C_TARGET","PRODUCING",7157,9/1/2014,4231
"42461392690000","4246139269","PIONEER","WFMP_B_LOWER","PRODUCING",6908,8/1/2014,10793
"42461392720000","4246139272","PIONEER","WFMP_C","PRODUCING",6842,8/1/2014,6777
"42461392730000","4246139273","PIONEER","WFMP_B","PRODUCING",7206,9/1/2014,7729
"42461392740000","4246139274","PIONEER","WFMP_A","PRODUCING",7507,8/1/2014,6575
"42461392750000","4246139275","PIONEER","WFMP_B_LOWER","PRODUCING",7513,8/1/2014,8941
"42461392810000","4246139281","COG","WFMP_B","PRODUCING",8687,10/1/2014,15853
"42461392900000","4246139290","SM","WFMP_B","PRODUCING",5101,7/1/2014,5616
"42461392990000","4246139299","PIONEER","WFMP_B","PRODUCING",6307,9/1/2014,4482
"42461393000000","4246139300","PIONEER","WFMP_B_LOWER","PRODUCING",6307,9/1/2014,7060
"42461393010100","4246139301","PIONEER","WFMP_B","PRODUCING",6307,8/1/2014,5899
"42461393070000","4246139307","PIONEER","WFMP_B_LOWER","PRODUCING",6007,8/1/2014,8202
"42461393120000","4246139312","PIONEER","WFMP_D","PRODUCING",6607,8/1/2014,4902
"42461393140000","4246139314","SM","WFMP_B","PRODUCING",7330,8/1/2014,12550
"42461393160000","4246139316","COG","WFMP_B","PRODUCING",5041,8/1/2014,15821
"42461393210000","4246139321","PIONEER","SPBY_L_SHALE","PRODUCING",5106,9/1/2014,10776
"42461393220000","4246139322","PIONEER","SPBY_L_SILT","PRODUCING",4982,8/1/2014,13545
"42461393240000","4246139324","PARSLEY","WFMP_B_LOWER","PRODUCING",4851,6/1/2014,15767
"42461393270000","4246139327","COG","WFMP_B","PRODUCING",7746,3/1/2015,10790
"42461393300000","4246139330","CALLON","WFMP_B","PRODUCING",7182,8/1/2014,7226
"42461393310000","4246139331","CALLON","WFMP_B","PRODUCING",6925,8/1/2014,8628
"42461393320000","4246139332","CALLON","WFMP_B_LOWER","PRODUCING",7097,11/1/2014,7982
"42461393350000","4246139335","SM","WFMP_B","PRODUCING",4961,7/1/2014,12028
"42461393410000","4246139341","SM","WFMP_B","PRODUCING",4990,9/1/2014,11074
